step,crank_angle_deg,coupler_x,coupler_y,pivot_a_x,pivot_a_y,pivot_b_x,pivot_b_y
342,171.0,-210.1692,-49.2978,-98.7688,15.6434,-163.4902,-31.3794
343,171.5,-209.731,-51.1299,-98.9016,14.7809,-163.2101,-32.8049
344,172.0,-209.2768,-52.9582,-99.0268,13.9173,-162.9176,-34.2279
345,172.5,-208.8067,-54.7825,-99.1445,13.0526,-162.6128,-35.6483
346,173.0,-208.3207,-56.6025,-99.2546,12.1869,-162.2955,-37.066
347,173.5,-207.8188,-58.4183,-99.3572,11.3203,-161.9658,-38.4808
348,174.0,-207.3011,-60.2296,-99.4522,10.4528,-161.6239,-39.8928
349,174.5,-206.7677,-62.0363,-99.5396,9.5846,-161.2696,-41.3017
350,175.0,-206.2184,-63.8383,-99.6195,8.7156,-160.903,-42.7074
351,175.5,-205.6535,-65.6355,-99.6917,7.8459,-160.5242,-44.1099
352,176.0,-205.0729,-67.4276,-99.7564,6.9756,-160.1332,-45.5091
353,176.5,-204.4767,-69.2146,-99.8135,6.1049,-159.7299,-46.9047
354,177.0,-203.8649,-70.9964,-99.863,5.2336,-159.3145,-48.2969
355,177.5,-203.2376,-72.7727,-99.9048,4.3619,-158.887,-49.6853
356,178.0,-202.5948,-74.5435,-99.9391,3.4899,-158.4474,-51.0699
357,178.5,-201.9365,-76.3086,-99.9657,2.6177,-157.9957,-52.4507
358,179.0,-201.2629,-78.0679,-99.9848,1.7452,-157.532,-53.8274
359,179.5,-200.574,-79.8213,-99.9962,0.8727,-157.0562,-55.2001
360,180.0,-199.8698,-81.5685,-100.0,0.0,-156.5685,-56.5685
361,180.5,-199.1504,-83.3096,-99.9962,-0.8727,-156.0689,-57.9327
362,181.0,-198.4158,-85.0443,-99.9848,-1.7452,-155.5574,-59.2924
363,181.5,-197.6661,-86.7726,-99.9657,-2.6177,-155.0341,-60.6476
